id,text
1,"Qual é o seu nome?"
2,"Como você prefere ser chamado?"
3,"Qual é o significado do seu nome?"
4,"Você tem apelido? Qual?"
5,"Pode me contar seu nome completo?"
6,"Como se escreve o seu nome?"
7,"Quantos anos você tem?"
8,"Em que ano você nasceu?"
9,"Quando é o seu aniversário?"
10,"Qual foi o melhor aniversário da sua vida?"
11,"Você gosta de comemorar aniversário?"
12,"Onde você nasceu?"
13,"Em qual cidade você mora atualmente?"
14,"Você já morou em outra cidade?"
15,"Qual lugar mais marcou sua infância?"
16,"Onde você gostaria de morar no futuro?"
17,"Como é o bairro onde você vive?"
18,"Você prefere cidade grande ou cidade pequena?"
19,"Pode falar um pouco sobre sua família?"
20,"Você tem irmãos ou irmãs?"
21,"Como foi crescer na sua família?"
22,"Quem é a pessoa mais próxima de você?"
23,"Qual tradição familiar você mais gosta?"
24,"O que você estuda atualmente?"
25,"Qual foi a matéria que você mais gostava na escola?"
26,"Você trabalha? Em quê?"
27,"Qual foi o emprego que você mais gostou de ter?"
28,"Qual profissão você gostaria de seguir?"
29,"Por que escolheu sua área de estudo?"
30,"Quais são seus hobbies favoritos?"
31,"O que você gosta de fazer no tempo livre?"
32,"Você pratica algum esporte?"
33,"Qual tipo de música você mais escuta?"
34,"Qual filme marcou sua vida?"
35,"Qual livro você recomendaria?"
36,"Você gosta de cozinhar? O que sabe fazer?"
37,"Você gosta de jogar videogame? Qual jogo prefere?"
38,"Qual foi a melhor viagem que já fez?"
39,"Qual lugar você ainda quer conhecer?"
40,"Você prefere praia, campo ou cidade?"
41,"Já teve alguma experiência marcante viajando?"
42,"Como você se descreveria em poucas palavras?"
43,"Quais qualidades você mais valoriza em uma pessoa?"
44,"O que te deixa feliz no dia a dia?"
45,"O que te irrita facilmente?"
46,"Qual é sua maior qualidade?"
47,"Qual é um defeito que você tenta melhorar?"
48,"Qual é seu maior sonho?"
49,"Que objetivo você quer alcançar nos próximos anos?"
50,"Quem te inspira a ser melhor?"
51,"Se pudesse mudar algo no mundo, o que seria?"
52,"Como é sua rotina diária?"
53,"Você acorda cedo ou tarde?"
54,"Qual a primeira coisa que você faz ao acordar?"
55,"O que você costuma fazer antes de dormir?"
56,"Você gosta de planejar o dia ou prefere improvisar?"
57,"Qual é sua comida favorita?"
58,"Você gosta de café?"
59,"Qual prato você mais sabe cozinhar?"
60,"Qual sabor de sorvete você escolheria agora?"
61,"O que você considera mais importante na vida?"
62,"Qual foi um momento que mudou sua forma de pensar?"
63,"Do que você mais sente orgulho?"
64,"Qual foi seu maior desafio até hoje?"
65,"O que você aprendeu recentemente?"
66,"Qual aplicativo você mais usa no dia a dia?"
67,"Você prefere Android ou iPhone?"
68,"Qual tecnologia você acha mais incrível hoje?"
69,"Pode se apresentar para mim?"
70,"Fale um pouco sobre você."
71,"Onde você cresceu?"
72,"O que te motiva?"
73,"Qual é a sua lembrança de infância favorita?"
74,"Como era sua escola?"
75,"Qual professor marcou sua vida?"
76,"O que você mais gosta no seu trabalho?"
77,"Você tem algum animal de estimação?"
78,"Como você relaxa depois de um dia cansado?"
79,"O que você faria se tivesse um dia inteiro livre?"
80,"Qual foi a última coisa nova que aprendeu?"
