id,text,blockId,size,videoSrc
1,"O gato subiu no telhado.",2,1,""
2,"Que horas são agora?",2,1,""
3,"A reunião foi adiada para a próxima semana.",2,2,""
4,"Preciso comprar pão e leite no mercado.",2,2,""
5,"O filme começou às oito da noite.",2,2,""
6,"Ela trabalha em um escritório de advocacia.",2,2,""
7,"A importância da educação para o desenvolvimento social e econômico de uma nação é inegável.",2,3,""
8,"Os pesquisadores concluíram que a vacina experimental demonstrou resultados promissores na prevenção de novas infecções.",2,3,""
9,"Você gostaria de café ou chá?",2,1,""
10,"O trânsito estava congestionado por causa de um acidente na rodovia.",2,3,""
11,"Que notícia incrível!",5,1,""
12,"Vamos começar o projeto agora mesmo!",5,2,""
13,"Você não vai acreditar no que aconteceu.",5,2,""
14,"Isso é fantástico!",5,1,""
15,"Todos estão muito animados com o resultado.",5,2,""
16,"O sol nasceu lá fora.",2,1,""
17,"Quando você vai viajar?",2,1,""
18,"O cachorro late para o carteiro todos os dias.",2,2,""
19,"Vou preparar um jantar especial hoje à noite.",2,2,""
20,"A empresa lançará um novo produto no próximo trimestre.",2,2,""
21,"A tecnologia tem transformado profundamente a maneira como nos comunicamos, trabalhamos e nos relacionamos em sociedade.",2,3,""
22,"Estudos recentes indicam que a prática regular de exercícios físicos pode reduzir significativamente o risco de doenças cardiovasculares.",2,3,""
23,"Onde você colocou as chaves?",2,1,""
24,"A cidade amanheceu coberta por uma densa névoa que reduzia a visibilidade nas estradas.",2,3,""
25,"Que dia lindo!",5,1,""
26,"Vamos aproveitar a praia enquanto o tempo está bom!",5,2,""
27,"Acho que perdi o ônibus de novo.",5,2,""
28,"Que susto!",5,1,""
29,"Eles estão construindo uma nova escola no bairro.",5,2,""
30,"O café esfriou.",2,1,""
31,"Você já leu esse livro?",2,1,""
32,"O restaurante fechou mais cedo por falta de funcionários.",2,2,""
33,"Vou ligar para o cliente assim que chegar ao escritório.",2,2,""
34,"A previsão do tempo indica chuva forte para os próximos dias.",2,2,""
35,"A compreensão dos mecanismos genéticos por trás de doenças raras tem aberto caminho para terapias inovadoras e personalizadas.",2,3,""
36,"As negociações entre os dois países avançaram lentamente devido a divergências em pontos-chave do acordo comercial.",2,3,""
37,"Quem deixou a porta aberta?",2,1,""
38,"O show estava lotado e a plateia vibrou a cada música.",2,3,""
39,"Que vista magnífica!",5,1,""
40,"Não acredito que você conseguiu!",5,2,""
41,"Vamos organizar uma festa surpresa para ela.",5,2,""
42,"Que absurdo!",5,1,""
43,"O relatório precisa ser entregue amanhã de manhã.",5,2,""
44,"O trem chegou atrasado.",2,1,""
45,"Qual é o seu prato favorito?",2,1,""
46,"Ela aprendeu a tocar violão em apenas alguns meses.",2,2,""
47,"Precisamos revisar o contrato antes de assinar.",2,2,""
48,"O jardim está florido depois das últimas chuvas.",2,2,""
49,"A crescente urbanização nas últimas décadas trouxe desafios significativos para a mobilidade urbana e a qualidade de vida nas metrópoles.",2,3,""
50,"A sonda espacial enviou dados inéditos sobre a composição atmosférica de um exoplaneta localizado na zona habitável.",2,3,""
51,"Por que você está tão cansado?",2,1,""
52,"A exposição de arte contemporânea atraiu milhares de visitantes no fim de semana.",2,3,""
53,"Que maravilha!",5,1,""
54,"Vamos sair para jantar hoje!",5,2,""
55,"Ele disse que vai mudar de emprego.",5,2,""
56,"Que pena!",5,1,""
57,"A equipe está confiante para a final do campeonato.",5,2,""
58,"O celular descarregou.",2,1,""
59,"Qual caminho devemos seguir?",2,1,""
60,"A palestra sobre inovação foi muito inspiradora.",2,2,""
61,"Vou guardar esses documentos na pasta azul.",2,2,""
62,"O rio transbordou após a tempestade de ontem.",2,2,""
63,"A implementação de políticas públicas eficazes nas áreas de saúde e educação requer planejamento de longo prazo e alocação adequada de recursos.",2,3,""
64,"Cientistas descobriram uma nova espécie de anfíbio na floresta amazônica, reforçando a importância da preservação do bioma.",2,3,""
65,"Quantos anos você tem?",2,1,""
66,"O mercado financeiro reagiu positivamente ao anúncio da fusão entre as duas gigantes do setor.",2,3,""
67,"Que sorte!",5,1,""
68,"Vamos fazer um piquenique no parque!",5,2,""
69,"Talvez a gente se encontre amanhã.",5,2,""
70,"Que cheiro bom!",5,1,""
71,"O novo sistema de gestão será implementado em todas as filiais.",5,2,""
72,"O vento derrubou algumas árvores.",2,1,""
73,"Como você aprendeu a cozinhar tão bem?",2,1,""
74,"A viagem de trem pela serra foi muito tranquila.",2,2,""
75,"Precisamos renovar o contrato de aluguel até o fim do mês.",2,2,""
76,"O evento beneficente arrecadou mais recursos do que o esperado.",2,2,""
77,"A evolução da inteligência artificial nos últimos anos levanta questões éticas profundas sobre privacidade, autonomia e o futuro do trabalho.",2,3,""
78,"Pesquisas indicam que a exposição excessiva a telas durante a infância pode afetar o desenvolvimento cognitivo e a capacidade de concentração.",2,3,""
79,"Onde fica a estação de metrô mais próxima?",2,1,""
80,"O atleta superou todos os recordes na competição, conquistando o ouro olímpico.",2,3,""
81,"Que alegria!",5,1,""
82,"Vamos celebrar com um brinde!",5,2,""
83,"Ela não gostou da minha piada.",5,2,""
84,"Que confusão!",5,1,""
85,"O time está treinando forte para a próxima partida.",5,2,""
86,"A prova foi difícil.",2,1,""
87,"Você já experimentou essa sobremesa?",2,1,""
88,"O artista pintou um mural enorme na parede do centro cultural.",2,2,""
89,"Vou buscar as crianças na escola mais tarde.",2,2,""
90,"O preço dos combustíveis aumentou novamente.",2,2,""
91,"A compreensão da física quântica revolucionou nossa visão sobre a natureza da realidade, abrindo portas para tecnologias antes inimagináveis.",2,3,""
92,"As mudanças climáticas têm provocado eventos extremos cada vez mais frequentes, exigindo ações globais coordenadas de mitigação e adaptação.",2,3,""
93,"Quem vai dirigir até a praia?",2,1,""
94,"O livro aborda temas complexos de forma acessível ao público leigo.",2,3,""
95,"Que delícia!",5,1,""
96,"Vamos ver o pôr do sol na praia!",5,2,""
97,"Talvez seja melhor esperar um pouco.",5,2,""
98,"Que chato!",5,1,""
99,"A nova coleção de moda foi muito elogiada pela crítica.",5,2,""
100,"O computador travou de repente.",2,1,""
101,"Qual é a sua opinião sobre o assunto?",2,1,""
102,"O diretor anunciou mudanças na estrutura da empresa.",2,2,""
103,"Vou fazer uma caminhada na natureza amanhã cedo.",2,2,""
104,"A receita pede ingredientes simples e fáceis de encontrar.",2,2,""
105,"A transição energética para fontes renováveis é um dos maiores desafios do século XXI, envolvendo inovações tecnológicas, investimentos maciços e reestruturação de cadeias produtivas.",2,3,""
106,"Os arqueólogos descobriram vestígios de uma civilização antiga que habitava a região há mais de cinco mil anos, reescrevendo parte da história conhecida.",2,3,""
107,"Por que você chegou atrasado?",2,1,""
108,"A cerimônia de premiação será transmitida ao vivo pela televisão.",2,3,""
109,"Que incrível!",5,1,""
110,"Vamos decorar a casa para a festa!",5,2,""
111,"Ele prometeu que ajudaria com a mudança.",5,2,""
112,"Que horror!",5,1,""
113,"Os alunos estão empolgados com a excursão.",5,2,""
114,"A conta chegou.",2,1,""
115,"Você já decidiu o que vai pedir?",2,1,""
116,"A peça de teatro aborda questões sociais de maneira sensível e poética.",2,2,""
117,"Vou atualizar o software antes de começar a trabalhar.",2,2,""
118,"O festival de cinema reuniu produções independentes de vários países.",2,2,""
119,"O avanço da medicina regenerativa, com o uso de células-tronco e bioimpressão 3D, promete revolucionar o tratamento de lesões e doenças degenerativas no futuro.",2,3,""
120,"A reforma tributária em discussão no Congresso visa simplificar o sistema e reduzir a carga sobre os setores produtivos, mas enfrenta resistência de diversos grupos.",2,3,""
121,"Quando você vai devolver o livro?",2,1,""
122,"A exposição fotográfica retrata a rotina de comunidades ribeirinhas de forma poética e documental.",2,3,""
123,"Que espetáculo!",5,1,""
124,"Vamos acampar no final de semana!",5,2,""
125,"Acho que vou precisar de ajuda para montar isso.",5,2,""
126,"Que ótimo!",5,1,""
127,"O time adversário jogou muito bem.",5,2,""
128,"A janela está quebrada.",2,1,""
