id,text,blockId,videoSrc,audioSize
1,"O gato subiu no telhado.",2,"",p
2,"Que horas são agora?",2,"",p
3,"A reunião foi adiada para a próxima semana.",2,"",m
4,"Preciso comprar pão e leite no mercado.",2,"",m
5,"O filme começou às oito da noite.",2,"",m
6,"Ela trabalha em um escritório de advocacia.",2,"",m
7,"A importância da educação para o desenvolvimento social e econômico de uma nação é inegável.",2,"",g
8,"Os pesquisadores concluíram que a vacina experimental demonstrou resultados promissores na prevenção de novas infecções.",2,"",g
9,"Você gostaria de café ou chá?",2,"",p
10,"O trânsito estava congestionado por causa de um acidente na rodovia.",2,"",g
11,"Hoje o clima está muito agradável.",2,"",p
12,"Ele esqueceu as chaves dentro do carro.",2,"",m
13,"A aula foi bastante produtiva.",2,"",p
14,"Estamos planejando uma viagem para o litoral.",2,"",m
15,"O cachorro latiu a noite inteira.",2,"",p
16,"A comida estava deliciosa.",2,"",p
17,"Ela terminou o trabalho antes do prazo.",2,"",m
18,"O computador travou novamente.",2,"",p
19,"Precisamos organizar melhor nosso tempo.",2,"",m
20,"O livro que estou lendo é muito interessante.",2,"",m

21,"Ele abriu a janela lentamente.",2,"",p
22,"Vamos sair mais cedo hoje?",2,"",p
23,"A empresa anunciou mudanças importantes na estratégia para os próximos anos.",2,"",g
24,"O sistema apresentou falhas durante a execução do processo.",2,"",g
25,"Precisamos revisar os dados antes da apresentação final.",2,"",m
26,"O relatório foi enviado para análise.",2,"",m
27,"A conexão caiu novamente.",2,"",p
28,"Isso pode causar problemas.",2,"",p
29,"Estamos melhorando continuamente nossos processos internos.",2,"",g
30,"A equipe discutiu soluções inovadoras para o problema.",2,"",g

31,"Que notícia incrível!",5,"",p
32,"Vamos começar o projeto agora mesmo!",5,"",m
33,"Você não vai acreditar no que aconteceu.",5,"",m
34,"Isso é fantástico!",5,"",p
35,"Todos estão muito animados com o resultado.",5,"",m
36,"Que surpresa maravilhosa!",5,"",p
37,"Isso superou todas as expectativas!",5,"",m
38,"Estou muito feliz com essa conquista.",5,"",m
39,"Que momento inesquecível!",5,"",p
40,"É uma oportunidade incrível!",5,"",p

41,"Mal posso esperar para começar!",5,"",m
42,"Isso é simplesmente sensacional!",5,"",m
43,"Que conquista impressionante!",5,"",p
44,"Estamos comemorando essa vitória!",5,"",m
45,"Nada pode nos parar agora!",5,"",p
46,"Que energia incrível!",5,"",p
47,"Estamos vivendo um momento histórico.",5,"",m
48,"Essa conquista representa anos de esforço coletivo.",5,"",g
49,"O resultado final foi extremamente positivo para todos.",5,"",g
50,"A equipe inteira está celebrando esse grande marco.",5,"",g

51,"","56","\public\video\sad.mp4",p
52,"Dói no coração ver uma criança precisando pedir ajuda na rua.",56,"",g
53,"Ninguém deveria crescer sem ter o básico garantido.",56,"",g
54,"É triste precisar depender da bondade alheia pra sobreviver.",56,"",g
